"선수,연도,팀,연봉(만원),WAR(승리기여도)"
추신수,2021,SSG,270000,3.287
이대호,2021,롯데,250000,1.107
박병호,2021,넥센,200000,
손아섭,2021,롯데,200000,2.686
양의지,2021,NC,200000,5.721
최형우,2021,KIA,150000,0.243
김현수,2021,LG,130000,3.129
이재원,2021,SSG,130000,1.444
강민호,2021,삼성,125000,3.878
황재균,2021,kt,120000,2.406
최정,2021,SSG,120000,6.504
오승환,2021,삼성,120000,3.032
알테어,2021,NC,110000,4.897
브룩스,2021,KIA,100000,2.064
차우찬,2021,LG,100000,-0.077
루친스키,2021,NC,100000,4.483
로맥,2021,SSG,90000,1.487
켈리,2021,LG,90000,4.962
스트레일리,2021,롯데,90000,3.021
브리검,2021,넥센,90000,
폰트,2021,SSG,85000,2.941
호잉,2021,kt,80000,1.394
정우람,2021,한화,80000,-0.303
우규민,2021,삼성,70000,1.021
박석민,2021,NC,70000,1.514
터커,2021,KIA,70000,0.425
김재호,2021,두산,65000,0.116
김재환,2021,두산,65000,3.823
나지완,2021,KIA,60000,-0.639
쿠에바스,2021,kt,60000,1.943
다카하시,2021,KIA,60000,0.365
라모스,2021,LG,60000,0.576
오지환,2021,LG,60000,3.654
뷰캐넌,2021,삼성,60000,4.551
미란다,2021,두산,55000,7.086
프레이타스,2021,넥센,55000,
르위키,2021,SSG,55000,0.323
요키시,2021,넥센,55000,
알몬테,2021,kt,52500,0.420
박민우,2021,NC,52000,0.816
전준우,2021,롯데,50000,4.293
힐리,2021,한화,50000,0.962
스미스,2021,넥센,50000,
스트레일리,2021,롯데,50000,3.021
나성범,2021,NC,50000,4.065
유한준,2021,kt,50000,1.793
민병헌,2021,롯데,50000,-0.487
라이블리,2021,삼성,50000,0.661
킹험,2021,한화,50000,
피렐라,2021,삼성,50000,2.961
마차도,2021,롯데,50000,3.252
로켓,2021,두산,49300,4.096
허경민,2021,두산,48000,1.349
오재일,2021,삼성,47000,3.028
박건우,2021,두산,45000,4.509
김선빈,2021,KIA,45000,2.965
몽고메리,2021,삼성,45000,0.215
데스파이네,2021,kt,45000,4.012
멩덴,2021,KIA,42500,3.089
이성열,2021,한화,40000,-0.226
수아레즈,2021,LG,40000,4.435
박경수,2021,kt,40000,0.459
이현승,2021,두산,40000,0.974
이용규,2021,넥센,40000,
김민성,2021,LG,40000,1.619
페르난데스,2021,두산,40000,2.880
이정후,2021,넥센,39000,
크레익,2021,넥센,37100,
최원태,2021,넥센,37000,
김강민,2021,SSG,35000,1.077
안영명,2021,kt,35000,0.514
서건창,2021,넥센,35000,
정수빈,2021,두산,34000,1.425
조상우,2021,넥센,33000,
파슨스,2021,NC,32000,3.714
채은성,2021,LG,32000,2.773
페레즈,2021,한화,30000,0.779
정의윤,2021,SSG,30000,-0.399
보어,2021,LG,30000,-0.475
이지영,2021,넥센,30000,
모창민,2021,NC,30000,-0.162
카펜터,2021,한화,30000,2.014
장원준,2021,두산,30000,-0.253
김상수,2021,SSG,30000,0.321
유희관,2021,두산,30000,-1.485
이원석,2021,삼성,30000,0.949
오재원,2021,두산,30000,-0.548
박해민,2021,삼성,30000,3.942
안치홍,2021,롯데,29000,2.786
박종훈,2021,SSG,29000,1.611
한현희,2021,넥센,29000,
구자욱,2021,삼성,28000,5.903
백정현,2021,삼성,28000,5.275
이천웅,2021,LG,28000,0.135
심창민,2021,삼성,28000,0.157
이재학,2021,NC,27500,0.526
이영하,2021,두산,27000,-0.280
최주환,2021,SSG,27000,2.594
송은범,2021,LG,27000,0.431
원종현,2021,NC,26000,0.911
