영화제목, 평점, 개봉일, 누적인원
부산행,7.3,2020.07.01.,11567662
검사외전,6.5,2016.02.03.,9707581
캡틴 아메리카: 시빌 워,8.1,2016.04.27.,8678117
밀정,7.7,2016.09.07.,7500457
터널,7.2,2016.08.10.,7120780
택시운전사,9.1,2017.08.02.,12189698
신과함께-죄와 벌,7.1,2021.01.07.,14414658
공조,7.2,2017.01.18.,7817654
스파이더맨: 홈 커밍,8.1,2017.07.05.,7258678
범죄도시,8.3,2017.10.03.,6880546
신과함께-인과 연,6.9,2021.01.21.,12278010
어벤져스: 인피니티 워,7.7,2018.04.25.,11233176
보헤미안 랩소디,8.9,2018.10.31.,9948386
미션 임파서블: 폴아웃,8.1,2018.07.25.,6584915
신과함께-죄와 벌,7.1,2021.01.07.,14414658
극한직업,7.4,2019.01.23.,16266338
어벤져스: 엔드게임,7.9,2019.04.24.,13977602
겨울왕국 2,7.3,2019.11.21.,13747792
알라딘,8.4,2019.05.23.,12723777
기생충,7.9,2019.05.30.,10313201
남산의 부장들,8.4,2020.01.22.,4750345
다만 악에서 구하소서,6.8,2020.10.28.,4357803
반도,5.3,2020.07.15.,3812250
히트맨,6.3,2020.01.22.,2406232
테넷,6.8,2020.08.26.,2001171
스파이더맨: 노 웨이 홈,6.9,2021.12.15.,7551977
모가디슈,8.6,2021.07.28.,3614231
이터널스,4.1,2021.11.03.,3050518
블랙 위도우,7.6,2021.07.07.,2962088
분노의 질주: 더 얼티메이트,6.0,2021.05.19.,2292413
